                                                                    VIRUS STRAIN	               CLADE
                                                                    A/Hatay/2004	                   1
                                                           A/Cambodia/JP52a/2005	                   1
                                          A/chicken/Uthaithani/NIAH6-3-0007/2005	                   1
                                                           A/Vietnam/UT3062/2004	                   1
                                            A/Chicken/Vietnam/Binh_Duong477/2005	                   1
                                        A/chicken/Ratchaburi/Thailand/CU-68/2004	                   1
                                                A/chicken/Thailand/ICRC-618/2008	                   1
                                   A/open-billed_Stork/Thailand/VSMU-15-ATG/2005	                   1
                                                             A/Vietnam/1194/2004	                   1
                                     A/open-billed_stork/Nakhonsawan/BBD3516M/05	                   1
                                                         A/duck/Guangdong/173/04	          1-8-9-like
                                                      A/chicken/Vietnam/G62/2005	          1-8-9-like
                                                     A/parrot/Guangdong/C99/2005	          1-8-9-like
                                                   A/chicken/Cambodia/LC1AL/2007	                 1.1
                                                    A/duck/Cambodia/D2KC167/2006	                 1.1
                                                   A/chicken/Bac_Lieu/07-10/2007	                 1.1
                                                 A/Muscovy_duck/Ca_Mau/1185/2006	                 1.1
                                                   A/chicken/Cambodia/LC3AL/2007	                 1.1
                                                       A/chicken/Vietnam/29/2007	                 1.1
                                                A/Muscovy_duck/Ca_Mau/07-04/2007	                 1.1
                                                      A/chicken/Ca_Mau/1180/2006	                 1.1
                                                    A/duck/Cambodia/D1KC167/2006	                 1.1
                                                    A/chicken/Cambodia/67F8/2008	                 1.1
                                                  A/Duck/Vietnam/Ca_Mau498A/2006	                 1.1
                                              A/duck/Vietnam_BacLiu/NCVD-10/2007	                 1.1
                                                 A/Muscovy_duck/Ca_Mau/1181/2006	                 1.1
                                                    A/duck/Cambodia/D3KC167/2006	                 1.1
                                              A/Duck/Vietnam/Tien_Giang_409/2006	                 1.1
                                                       A/duck/Bac_Lieu/1213/2007	                 1.1
                                                     A/duck/Hau_Giang/07-12/2007	                 1.1
                                                    A/chicken/Cambodia/67F4/2008	                 1.1
                                                    A/duck/Cambodia/D5KC167/2006	                 1.1
                                               A/duck/Vietnam/An_Giang_680B/2005	                 1.1
                                           A/duck/Vietnam_Hau_Giang/NCVD-12/2007	                 1.1
                                         A/Muscovy_Duck/Vietnam/Ben_Tre_342/2006	                 1.1
                                                    A/chicken/Bac_Lieu/1214/2007	                 1.1
                                                   A/Duck/Vietnam/Ca_Mau498/2006	                 1.1
                                                     A/duck/Soc_Trang/07-25/2007	                 1.1
                                                      A/duck/Bac_Lieu/07-09/2007	                 1.1
                                                  A/Muscovy_duck/Vietnam/33/2007	                 1.1
                                                      A/duck/Bac_Lieu/07-06/2007	                 1.1
                                                 A/Muscovy_duck/Ca_Mau/1159/2006	                 1.1
                                                          A/duck/Vietnam/18/2007	                 1.1
                                                        A/Cambodia/V0401301/2011	               1.1.1
